"Uni","GPA","Grad","ID"
"Anderford",1.76,2015,1
"Anderford",1.84,2003,2
"Anderford",3.2,1996,3
"Anderford",2.9,2017,4
"Anderford",3.73,2015,5
"Anderford",2.77,2008,6
"Anderford",2,2022,7
"Anderford",1.52,2013,8
"Anderford",2.81,2009,9
"Anderford",3.99,2000,10
"Anderford",1.64,1994,11
"Anderford",2.23,2009,12
"Anderford",1.4,2008,13
"Anderford",3.9,1994,14
"Anderford",3.2,2010,15
"Anderford",2.33,2014,16
"Anderford",3.04,2015,17
"Anderford",1.56,2020,18
"Anderford",2.68,2001,19
"Anderford",1.7,1993,20
"Anderford",1.74,1999,21
"Anderford",3.43,1991,22
"Anderford",2.06,2017,23
"Anderford",1.74,1995,24
"Anderford",3.62,2005,25
"Anderford",3.39,2017,26
"Anderford",3.37,1997,27
"Anderford",1.64,2007,28
"Anderford",1.46,2011,29
"Anderford",2.45,2000,30
"Anderford",3.22,2016,31
"Anderford",1.92,2000,32
"Anderford",1.59,2023,33
"Anderford",2.75,1991,34
"Anderford",2.77,2002,35
"Anderford",2.32,1993,36
"Anderford",3.4,1998,37
"Anderford",2.78,1997,38
"Anderford",3.67,2015,39
"Anderford",2.09,2020,40
"Anderford",2.36,2019,41
"Anderford",2.62,2017,42
"Anderford",3.17,2000,43
"Anderford",1.18,2013,44
"Anderford",1.32,1998,45
"Anderford",1.21,2008,46
"Anderford",2.76,2022,47
"Anderford",1.96,2005,48
"Anderford",1.52,2003,49
"Anderford",2.24,2017,50
"Anderford",1.16,2010,51
"Anderford",1.81,1994,52
"Anderford",1.09,2012,53
"Anderford",2.96,1995,54
"Anderford",1.57,1999,55
"Anderford",3.5,2001,56
"Anderford",1.7,2019,57
"Anderford",3.1,2011,58
"Anderford",2.85,2014,59
"Anderford",1.47,2000,60
"Anderford",2.54,1996,61
"Anderford",2.93,1996,62
"Anderford",2.7,2012,63
"Anderford",2.32,1996,64
"Anderford",2.69,2007,65
"Anderford",3.79,1996,66
"Anderford",1.64,2020,67
"Anderford",1.42,1999,68
"Anderford",3.43,1995,69
"Anderford",2.71,2003,70
"Anderford",1.68,2000,71
"Anderford",1.51,2020,72
"Anderford",3.06,2020,73
"Anderford",1.98,2020,74
"Anderford",3.16,2011,75
"Anderford",1.36,2018,76
"Anderford",3.73,1997,77
"Anderford",1.03,2019,78
"Anderford",2.18,1996,79
"Anderford",2.18,2021,80
"Anderford",1.13,1996,81
"Anderford",3.43,1990,82
"Anderford",3.39,2018,83
"Anderford",2.55,1998,84
"Anderford",3.58,1999,85
"Anderford",1.45,1995,86
"Anderford",3.93,1994,87
"Anderford",3.95,2010,88
"Anderford",3.63,1999,89
"Anderford",2.39,1994,90
"Anderford",3.27,2020,91
"Anderford",3.2,2004,92
"Anderford",1.34,1990,93
"Anderford",2.52,1991,94
"Anderford",3.36,2008,95
"Anderford",3.26,1998,96
"Anderford",1.18,2011,97
"Anderford",2.69,2023,98
"Anderford",2.2,2021,99
"Anderford",3.06,1991,100
"Anderford",3.21,2002,101
"Anderford",2.6,2023,102
"Anderford",2.92,1999,103
"Anderford",3.86,1995,104
"Anderford",2.21,2013,105
"Anderford",2.84,1990,106
"Anderford",1.5,1990,107
"Anderford",2.36,1992,108
"Anderford",1.58,2003,109
"Anderford",1.4,2006,110
"Anderford",3.87,1997,111
"Anderford",3.02,2013,112
"Anderford",2.63,2021,113
"Anderford",2.42,2019,114
"Anderford",2.71,1997,115
"Anderford",2.53,1990,116
"Anderford",1.12,2022,117
"Anderford",1.78,2013,118
"Anderford",2.23,1998,119
"Anderford",2.27,1993,120
"Anderford",2.04,2002,121
"Anderford",3.84,2021,122
"Anderford",1.26,2014,123
"Anderford",1.26,2012,124
"Anderford",2.56,2009,125
